id,Carats,Cert,Clarity,Color,Cut,Depth,Known_Conflict_Diamond,Measurements,Polish,Regions,Shape,Symmetry,Table,Vendor,Offers,Estimated_Offers
8085,0.4,,SI2,H, ,63.0,,4.68x4.66x2.94,Excellent,Other/Unknown,Emerald,Excellent,,1,,873.2283333333332
8086,0.4,AGSL,SI1,I, ,,,4.69x4.64x3,Excellent,Botswana,Princess,Very good,,1,,829.7734686147187
8087,0.41,GemEx,SI1,J, ,63.1,False,4.73x4.69x2.97,Excellent,Botswana,Round,Very good,58.0,1,,781.4717857142858
8088,0.4,AGSL,VVS1,J, ,,,4.62x4.59x2.97,Very good,Angola,Round,Good,,1,,628.7933333333334
8089,0.41,AGSL,SI2,J, ,62.7,,4.72x4.74x2.97, ,South Africa,Round, ,,1,,730.6625
8090,0.4,AGSL,VS1,J, ,63.2,,4.67x4.65x2.95,Very good,Botswana,Round,Very good,57.0,2,,791.7866666666667
8091,0.41,AGSL,VVS2,J, ,62.3,,4.78x4.74x2.97,Excellent,South Africa,Princess,Very good,58.0,1,,820.24
8092,0.4,AGSL,SI2,E, ,63.3,,4.6x4.64x2.92, ,Russia,Round, ,57.0,1,,862.8133856421354
8093,0.4,,SI2,E, ,61.4,,4.74x4.75x2.92, ,Botswana,Emerald, ,59.0,1,,868.1453878066377
8094,0.4,AGSL,SI2,E, ,,,4.69x4.74x2.94, ,Russia,Radiant, ,57.0,1,,862.8133856421354
8095,0.4,,VS2,J, ,59.3,,4.77x4.8x2.84,Excellent,Russia,Princess,Excellent,,1,,769.5425151237647
8096,0.4,AGSL,SI2,E, ,,,4.83x4.86x2.81, ,Botswana,Round, ,,1,,868.1453878066377
8097,0.4,AGSL,SI2,E, ,62.0,,4.68x4.7x2.91, ,South Africa,ROUND, ,56.0,1,,871.8570039682538
8098,0.4,AGSL,SI2,E, ,,,4.7x4.74x2.93, ,Russia,Asscher, ,56.0,1,,862.8133856421354
8099,0.4,AGSL,SI2,E, ,63.6,,4.65x4.67x2.97, ,South Africa,Round, ,55.0,1,,871.8570039682538
8100,0.4,AGSL,SI2,E, ,63.2,False,4.62x4.65x2.93, ,Botswana,Round, ,,1,,868.1453878066377
8101,0.5,AGSL,VS1,M, ,64.1,,5.02x5x3.21,Very good,Australia,Round,Very good,,1,,934.75
8102,0.4,AGSL,VS2,I, ,62.5,False,4.66x4.65x2.91,Very good,DR Congo,Radiant,Very good,59.0,1,,843.195992063492
8103,0.4,AGSL,SI2,F, ,61.7,,4.73x4.72x2.91,Very good,Canada,Round,Very good,,1,,890.548869047619
8104,0.43,,SI2,H, ,62.4,,4.81x4.79x2.99,Excellent,Russia,Oval,Excellent,57.0,1,,835.7375
8105,0.4,AGSL,SI1,G, ,63.8,,4.67x4.63x2.97,Very good,Australia,Asscher,Excellent,56.0,1,,885.7667460317462
8106,0.4,AGSL,SI1,F, ,64.6,,4.65x4.62x2.99,Very good,Russia,Oval,Excellent,56.0,1,,944.8616919191919
8107,0.41,AGSL,SI2,E, ,,,4.67x4.69x2.98, ,Russia,Emerald, ,59.0,1,,850.8100396825397
8108,0.4,AGSL,SI1,I, ,63.0,,4.67x4.66x2.94,Excellent,Botswana,ROUND,Very good,58.0,1,,829.7734686147187
8109,0.4,AGSL,SI1,I, ,,,4.72x4.68x2.96,Very good,Australia,Round,Very good,,1,,852.990873015873
8110,0.51,AGSL,SI1,M, ,62.6,,5.09x5.04x3.17,Very good,Russia,Round,Very good,,2,,824.9625
8111,0.41,AGSL,SI2,F, ,61.9,,4.69x4.75x2.92, ,Russia,Round, ,59.0,1,,915.339623015873
8112,0.4,AGSL,SI2,F, ,61.9,False,4.73x4.74x2.93, ,Russia,Round, ,56.0,1,,927.1324999999998
8113,0.4,AGSL,SI1,F, ,,,4.62x4.61x3.01,Very good,Australia,Pear,Excellent,57.0,1,,946.1140476190478
8114,0.4,GemEx,SI2,H, ,,,4.77x4.74x2.89,Excellent,DR Congo,Round,Excellent,58.0,1,,804.6266666666667
8115,0.4,AGSL,SI1,I, ,,,4.73x4.71x2.94,Very good,Russia,Round,Very good,58.0,1,,851.125912698413
8116,0.4,AGSL,SI1,H, ,63.2,,4.7x4.68x2.97,Very good,Canada,Emerald,Very good,55.0,1,,886.4525000000001
8117,0.4,AGSL,VS1,I, ,64.8,,4.63x4.6x2.99,Very good,Australia,Round,Very good,56.0,1,,951.1941666666665
8118,0.42,AGSL,SI1,I, ,60.8,,4.87x4.84x2.95,Excellent,Canada,Oval,Excellent,58.0,1,,885.65
8119,0.41,AGSL,VS2,J, ,60.5,,4.84x4.81x2.92,Excellent,Other/Unknown,Round,Excellent,58.0,1,,804.675
8120,0.4,AGSL,SI1,I, ,62.1,,4.75x4.73x2.94,Very good,Angola,Round,Excellent,,1,,839.7691666666666
8121,0.4,AGSL,SI1,F, ,64.1,False,4.69x4.66x2.99,Very good,Other/Unknown,Round,Very good,,1,,931.3686904761904
8122,0.4,AGSL,SI1,I, ,63.0,,4.68x4.64x2.94,Very good,Canada,Princess,Very good,60.0,1,,839.4950396825398
8123,0.4,AGSL,SI1,F, ,59.2,,4.83x4.8x2.85,Very good,Australia,Oval ,Very good,63.0,1,,946.1140476190478
8124,0.41,AGSL,SI1,I, ,63.4,,4.7x4.69x2.98,Very good,Botswana,Round,Very good,57.0,1,,839.5790241702742
8125,0.43,AGSL,IF,K, ,60.8,,4.9x4.87x2.97,Excellent,Russia,Round,Excellent,59.0,1,,719.8166666666666
8126,0.4,AGSL,SI1,G, ,63.6,,4.65x4.64x2.95,Very good,DR Congo,Round,Excellent,59.0,1,,893.4565476190475
8127,0.41,AGSL,SI2,G, ,61.9,False,4.75x4.74x2.94,Very good,Russia,Round,Excellent,,1,,875.9961507936505
8128,0.4,AGSL,SI2,G, ,62.9,,4.64x4.69x2.94, ,Russia,Round, ,,1,,832.1297809135308
8129,0.41,AGSL,SI1,I, ,,,4.76x4.75x2.95,Excellent,Botswana,Round,Excellent,,1,,839.5790241702742
8130,0.4,AGSL,SI2,F, ,61.7,,4.74x4.71x2.92,Very good,Russia,Round,Excellent,60.0,1,,927.1324999999998
8131,0.41,AGSL,SI1,I, ,63.7,,4.71x4.68x2.99,Excellent,Russia,Princess,Excellent,57.0,1,,863.7083730158732
8132,0.4,AGSL,VS2,H, ,,,4.61x4.57x2.98,Excellent,Botswana,Round,Good,,1,,1001.885
8133,0.4,AGSL,SI1,F, ,63.2,,4.7x4.67x2.96,Very good,Angola,Round,Very good,56.0,1,,1017.0808333333334
8134,0.4,AGSL,VS1,I, ,61.9,,4.71x4.68x2.91,Very good,Canada,Round,Good,57.0,1,,948.1125
8135,0.4,AGSL,VS2,I, ,63.4,,4.67x4.64x2.95,Very good,South Africa,Radiant,Very good,58.0,1,,827.6011904761905
8136,0.4,AGSL,VVS2,I, ,62.7,,4.69x4.67x2.93,Very good,Canada,Princess,Very good,60.0,1,,899.2884523809523
8137,0.4,AGSL,VS1,I, ,62.4,,4.73x4.69x2.94,Excellent,Russia,Cushion,Good,,1,,1008.7755952380953
8138,0.4,AGSL,VS2,I, ,62.9,,4.73x4.7x2.97,Excellent,South Africa,Radiant,Very good,,1,,827.6011904761905
8139,0.41,AGSL,SI2,H, ,61.9,,4.77x4.79x2.95, ,Angola,Pear, ,58.0,1,,842.3766666666666
8140,0.41,AGSL,SI2,G, ,59.6,,4.83x4.88x2.89, ,Russia,Round, ,59.0,1,,875.9961507936505
8141,0.41,,VS1,J, ,62.5,,4.77x4.74x2.97,Excellent,Russia,Round,Excellent,,1,,828.7583333333333
8142,0.42,AGSL,SI2,G, ,62.6,,4.8x4.75x2.99,Very good,Angola,Round,Very good,,1,,944.8416666666666
8143,0.4,AGSL,SI1,E, ,64.1,,4.59x4.63x2.96, ,Russia,Oval, ,57.0,1,,1026.515900247628
8144,0.4,AGSL,VS2,I, ,,,4.64x4.61x2.92,Very good,Russia,Round,Very good,,1,,866.8872344322344
8145,0.41,AGSL,SI1,H, ,61.1,,4.82x4.8x2.94,Excellent,Angola,Round,Very good,58.0,1,,960.6583333333333
8146,0.44,AGSL,SI2,I, ,,,4.89x4.87x3.04,Excellent,Russia,Oval ,Excellent,57.0,1,,895.52
8147,0.4,AGSL,SI1,F, ,62.1,,4.73x4.72x2.93,Good,Canada,Round,Excellent,,1,,929.6745238095236
8148,0.4,AGSL,SI1,G, ,62.1,,4.7x4.68x2.92,Excellent,Russia,Round,Very good,59.0,1,,846.4091552891551
8149,0.4,AGSL,SI2,I, ,61.1,,4.74x4.76x2.91, ,Botswana,Princess, ,58.0,1,,846.1730952380952
8150,0.4,AGSL,SI2,F, ,,,4.74x4.71x2.95,Very good,Canada,Radiant,Very good,,1,,890.548869047619
8151,0.4,AGSL,SI1,G, ,62.4,,4.72x4.69x2.94,Excellent,Russia,Round,Very good,58.0,1,,846.4091552891551
8152,0.4,AGSL,SI1,F, ,62.7,,4.67x4.62x2.91,Very good,Canada,Round,Very good,59.0,1,,929.6745238095236
8153,0.4,AGSL,VVS1,I, ,63.2,,4.66x4.64x2.94,Excellent,Canada,Emerald,Very good,,1,,852.3488095238095
8154,0.4,GemEx,SI2,E, ,61.7,False,4.7x4.68x2.9,Excellent,Botswana,Round,Very good,58.0,1,,868.1453878066377
8155,0.4,AGSL,SI1,F, ,63.0,,4.7x4.67x2.95,Very good,Russia,Princess,Good,55.0,1,,944.8616919191919
8156,0.41,AGSL,SI2,F, ,62.1,,4.74x4.77x2.95, ,Canada,Round, ,,1,,1001.467380952381
8157,0.41,AGSL,SI2,F, ,62.7,,4.71x4.75x2.97, ,Botswana,Princess, ,,1,,941.1564285714287
8158,0.4,AGSL,VS2,I, ,62.6,,4.72x4.67x2.94,Excellent,Russia,Round,Very good,58.0,1,,866.8872344322344
8159,0.4,AGSL,SI1,F, ,58.9,,4.87x4.85x2.86,Excellent,Russia,Marquise,Excellent,,1,,944.8616919191919
8160,0.41,AGSL,SI2,H, ,61.8,,4.76x4.79x2.95, ,Russia,Round, ,58.0,1,,735.1933333333333
8161,0.4,AGSL,SI1,H, ,62.3,,4.72x4.7x2.93,Excellent,Australia,Round,Very good,,1,,865.9833333333332
8162,0.4,AGSL,SI1,H, ,59.1,,4.84x4.82x2.85,Excellent,Russia,Princess,Very good,60.0,1,,867.2277110389613
8163,0.4,AGSL,SI2,D, ,59.7,,4.82x4.79x2.87,Very good,DR Congo,Round,Very good,,1,,1148.275
8164,0.42,AGSL,SI2,F, ,61.8,,4.83x4.8x2.98,Very good,Russia,Round,Very good,59.0,1,,886.3783730158731
8165,0.44,AGSL,VS2,J, ,61.5,,4.9x4.89x3.01,Excellent,Russia,Princess,Excellent,58.0,1,,810.4
8166,0.43,AGSL,SI1,I, ,62.4,,4.84x4.81x3.01,Excellent,Angola,Round,Excellent,56.0,1,,945.45
8167,0.4,AGSL,SI1,G, ,62.5,False,4.72x4.68x2.94,Excellent,Botswana,Round,Excellent,59.0,1,,1045.4283333333335
8168,0.41,AGSL,SI1,F, ,63.4,,4.7x4.66x2.97,Excellent,Australia,Round,Very good,,1,,966.0964285714285
8169,0.41,AGSL,SI2,F, ,62.1,,4.77x4.74x2.95,Excellent,Angola,Pear,Excellent,57.0,2,,1016.4029761904762
8170,0.4,AGSL,SI2,G, ,61.1,,4.75x4.76x2.91, ,Russia,Round, ,,1,,832.1297809135308
8171,0.41,AGSL,VVS2,I, ,62.5,,4.79x4.77x2.99,Very good,Angola,Round,Very good,56.0,1,,910.9334523809525
8172,0.4,AGSL,SI1,E, ,63.7,,4.71x4.67x2.99,Very good,Russia,Round,Very good,55.0,2,,1026.515900247628
8173,0.45,AGSL,VS1,J, ,61.6,,4.96x4.93x3.04,Excellent,Botswana,Round,Very good,57.0,1,,861.45
8174,0.4,,SI1,H, ,61.1,,4.78x4.75x2.91,Excellent,Australia,Round,Excellent,58.0,1,,865.9833333333332
8175,0.4,AGSL,SI2,E, ,,,4.83x4.8x2.83,Very good,Russia,Round,Very good,61.0,1,,862.8133856421354
8176,0.4,,SI1,F, ,62.4,,4.71x4.69x2.94,Very good,Other/Unknown,Emerald,Excellent,,1,,931.3686904761904
8177,0.41,AGSL,VS2,I, ,61.3,,4.8x4.78x2.94,Very good,Australia,Round,Excellent,58.0,1,,868.6641666666667
8178,0.42,AGSL,SI2,E, ,,,4.76x4.8x3.02, ,Botswana,Oval , ,56.0,1,,993.42625
8179,0.4,AGSL,SI2,H, ,62.1,,4.7x4.75x2.94, ,Russia,Round, ,57.0,1,,833.8242261904762
8180,0.4,AGSL,VS1,I, ,62.7,,4.69x4.67x2.94,Excellent,Angola,Round,Very good,60.0,1,,949.8941666666666
8181,0.4,AGSL,SI1,I, ,62.2,,4.75x4.76x2.96, ,Russia,Round, ,56.0,1,,851.125912698413
8182,0.5,AGSL,VS1,K, ,,,4.96x4.89x3.16,Very good,Botswana,Round,Good,,1,,1085.45
8183,0.4,AGSL,SI2,E, ,59.6,,4.82x4.8x2.87,Excellent,Russia,Round,Very good,58.0,1,,862.8133856421354
8184,0.4,AGSL,SI2,E, ,59.8,,4.82x4.8x2.87,Excellent,Russia,Round,Very good,,1,,862.8133856421354
8185,0.41,AGSL,VS1,I, ,61.7,,4.8x4.76x2.95,Excellent,Russia,Round,Good,56.0,1,,956.1447619047619
8186,0.4,AGSL,SI2,E, ,62.2,False,4.76x4.73x2.95,Excellent,Canada,Round,Very good,56.0,1,,917.3887950937948
8187,0.4,AGSL,SI2,D, ,64.0,,4.64x4.61x2.96,Very good,Russia,Asscher,Excellent,,1,,1056.1075
8188,0.43,AGSL,SI2,E, ,61.9,,4.83x4.84x2.99, ,Russia,Round, ,58.0,1,,1082.8
8189,0.4,GemEx,SI2,E, ,,,4.72x4.76x2.93, ,Botswana,Round, ,,1,,868.1453878066377
8190,0.44,,SI2,F, ,62.2,,4.9x4.88x3.04,Very good,Australia,Round,Excellent,57.0,1,,952.53
8191,0.41,AGSL,SI1,G, ,62.1,,4.75x4.74x2.95,Very good,Russia,Marquise,Excellent,58.0,1,,884.9779761904762
8192,0.4,AGSL,SI1,H, ,60.1,,4.8x4.76x2.87,Excellent,Russia,Round,Excellent,60.0,1,,867.2277110389613
8193,0.4,,SI2,G, ,60.3,,4.77x4.79x2.88, ,Australia,Round, ,60.0,1,,764.5876984126985
8194,0.4,AGSL,VVS2,H, ,63.9,,4.63x4.62x2.96,Excellent,Angola,Radiant,Very good,58.0,1,,947.6373809523809
8195,0.4,AGSL,SI1,D, ,64.9,,4.6x4.56x2.98,Very good,DR Congo,Round,Good,59.0,1,,1101.1495833333333
8196,0.41,AGSL,VS2,H, ,,True,4.86x4.83x2.91,Excellent,Angola,Round,Excellent,59.0,1,,1027.8283333333334
8197,0.43,AGSL,SI2,F, ,62.6,,4.82x4.85x3.03, ,Russia,Round, ,57.0,1,,813.5051785714284
8198,0.42,,SI1,G, ,60.3,,4.89x4.87x2.95,Excellent,Angola,Round,Excellent,58.0,1,,952.8583333333332
8199,0.41,AGSL,VVS1,I, ,61.9,,4.81x4.79x2.97,Excellent,Russia,Round,Very good,57.0,1,,871.4183333333334
8200,0.5,AGSL,SI2,K, ,62.9,,5.06x5.02x3.17,Very good,Botswana,Pear,Very good,,1,,1079.4
8201,0.46,AGSL,SI1,J, ,62.7,,4.89x4.91x3.07, ,Russia,Round, ,58.0,1,,925.25
8202,0.4,AGSL,SI1,E, ,63.2,,4.71x4.68x2.96,Very good,Canada,Oval,Very good,,1,,987.2105830362448
8203,0.41,AGSL,SI2,D, ,63.4,,4.71x4.68x2.98,Excellent,Russia,ROUND,Very good,58.0,2,,1042.9533333333334
8204,0.4,AGSL,VS2,H, ,,,4.75x4.73x2.94,Excellent,DR Congo,Oval ,Excellent,59.0,1,,957.9266666666666
8205,0.4,AGSL,SI1,D, ,60.8,,4.73x4.68x2.86,Very good,Botswana,Round,Good,62.0,1,,1128.5519047619048
8206,0.4,AGSL,SI1,D, ,63.0,False,4.72x4.68x2.96,Very good,Russia,Round,Very good,58.0,1,,1108.942215007215
8207,0.4,AGSL,VS1,G, ,64.1,,4.66x4.62x2.97,Excellent,Russia,Round,Very good,57.0,1,,948.8466666666667
8208,0.42,AGSL,SI2,D, ,60.9,,4.84x4.88x2.96, ,Russia,Radiant, ,56.0,1,,1141.3033333333335
8209,0.4,GemEx,SI1,E, ,62.5,,4.72x4.7x2.95,Very good,Australia,Round,Good,,1,,969.1951862108481
8210,0.4,AGSL,SI1,E, ,61.2,,4.76x4.72x2.9,Excellent,DR Congo,Marquis,Very good,59.0,1,,984.6710195441814
8211,0.4,AGSL,VS2,G, ,63.7,,4.72x4.68x2.99,Very good,Australia,Princess,Very good,,1,,991.6116666666666
8212,0.42,AGSL,SI2,E, ,60.7,,4.89x4.86x2.96,Excellent,South Africa,Round,Very good,57.0,1,,934.9283333333334
8213,0.4,AGSL,VS2,G, ,62.4,,4.7x4.68x2.92,Excellent,Russia,Radiant,Excellent,,1,,970.986388888889
8214,0.4,AGSL,VS2,F, ,63.8,,4.69x4.64x2.97,Excellent,Angola,Uncut,Very good,55.0,1,,1021.1672023809524
8215,0.51,AGSL,SI1,L, ,61.9,,5.14x5.12x3.17,Excellent,Russia,Round,Excellent,57.0,1,,1173.7166666666667
8216,0.46,AGSL,SI2,F, ,63.8,,4.8x4.84x3.07, ,Russia,Oval, ,,1,,1047.01
8217,0.4,AGSL,SI2,E, ,62.1,,4.74x4.72x2.94,Excellent,Botswana,Round,Excellent,,1,,868.1453878066377
8218,0.41,AGSL,SI2,D, ,60.8,True,4.8x4.79x2.92,Very good,DR Congo,ROUND,Excellent,59.0,1,,1131.7666666666667
8219,0.4,,VVS2,F, ,64.9,,4.62x4.56x2.98,Excellent,Botswana,Oval,Very good,56.0,1,,1055.295
8220,0.43,AGSL,SI2,D, ,62.2,,4.83x4.81x3,Very good,Russia,Emerald,Excellent,56.0,1,,1224.7366666666667
8221,0.44,AGSL,SI1,F, ,,False,4.87x4.85x3.03,Excellent,Russia,Radiant,Excellent,57.0,2,,1170.6
8222,0.43,AGSL,SI2,E, ,,,4.81x4.83x3.01, ,Russia,Emerald, ,,1,,1082.8
8223,0.4,,VS1,F, ,63.4,,4.69x4.66x2.97,Very good,Botswana,Round,Very good,,1,,1017.5133333333334
8224,0.4,AGSL,SI1,H, ,,,4.71x4.73x2.95, ,Russia,Emerald, ,56.0,1,,867.2277110389613
8225,0.43,,SI2,G, ,61.9,,4.84x4.89x3.01,Excellent,Russia,Round,Very good,55.0,1,,800.1133333333331
8226,0.4,AGSL,VVS2,F, ,,,4.66x4.61x2.97,Very good,Russia,Round,Very good,59.0,1,,1065.970595238095
8227,0.4,GemEx,VS2,E, ,63.5,False,4.64x4.58x2.93,Very good,Australia,Pear,Good,,1,,1057.1025
8228,0.4,AGSL,VS2,G, ,,,4.78x4.73x2.93,Very good,Australia,Round,Very good,56.0,1,,991.6116666666666
8229,0.42,AGSL,SI2,E, ,61.7,,4.86x4.83x2.99,Excellent,Russia,Round,Excellent,57.0,1,,948.7604166666667
8230,0.4,AGSL,SI1,F, ,,,4.67x4.7x2.88,Very good,Australia,Round,Very good,,1,,946.1140476190478
8231,0.41,AGSL,VS2,G, ,61.5,False,4.78x4.76x2.94,Excellent,Russia,Round,Very good,60.0,1,,989.3875000000002
8232,0.4,AGSL,VS2,G, ,61.8,,4.73x4.71x2.92,Very good,DR Congo,Round,Very good,60.0,1,,1024.8788095238094
8233,0.4,AGSL,SI1,D, ,61.0,,4.8x4.78x2.93,Excellent,Russia,Emerald,Very good,,1,,1108.942215007215
8234,0.4,AGSL,VVS2,H, ,62.4,,4.75x4.72x2.96,Excellent,Angola,Round,Excellent,57.0,1,,947.6373809523809
8235,0.44,AGSL,SI2,E, ,62.2,,4.88x4.86x3.03,Very good,Russia,Round,Excellent,58.0,2,,1126.8583333333333
8236,0.51,AGSL,SI1,K, ,63.4,,5.07x5.03x3.21,Very good,Australia,ROUND,Very good,58.0,1,,1093.3
8237,0.6,AGSL,SI2,L, ,61.9,False,5.36x5.33x3.31,Excellent,Angola,Round,Very good,,1,,1120.2833333333333
8238,0.41,AGSL,SI1,E, ,60.0,,4.84x4.8x2.89,Very good,Botswana,Emerald,Excellent,58.0,1,,944.9308333333335
8239,0.4,AGSL,VS2,G, ,60.0,,4.81x4.78x2.88,Very good,DR Congo,Round,Very good,59.0,1,,1024.8788095238094
8240,0.4,GemEx,VS2,G, ,,,4.78x4.75x2.81,Excellent,Russia,Princess,Very good,63.0,1,,970.986388888889
8241,0.46,AGSL,SI2,I, ,62.0,,4.97x5x3.09, ,Botswana,Round, ,58.0,1,,1038.0541666666668
8242,0.43,GemEx,SI2,E, ,61.1,,4.9x4.88x2.99,Excellent,Canada,Round,Excellent,57.0,1,,1058.5166666666667
8243,0.5,AGSL,SI2,J, ,63.9,,5.05x5.01x3.21,Very good,DR Congo,Radiant,Excellent,,1,,1121.225
8244,0.42,AGSL,SI1,E, ,61.1,,4.8x4.81x2.94, ,DR Congo,Round, ,,1,,998.0816666666667
8245,0.52,AGSL,VS1,L, ,62.0,,5.18x5.16x3.21,Very good,Russia,Radiant,Very good,58.0,2,,1091.825
8246,0.4,AGSL,SI1,E, ,61.5,,4.75x4.73x2.92,Excellent,Canada,Round,Excellent,,1,,987.2105830362448
8247,0.4,AGSL,SI1,D, ,60.7,,4.79x4.72x2.88,Excellent,Russia,Round,Very good,62.0,1,,1108.942215007215
8248,0.4,AGSL,VS2,F, ,,False,4.81x4.79x2.87,Excellent,Russia,Radiant,Very good,,1,,1084.3963293650793
8249,0.41,AGSL,VS2,G, ,58.5,,4.93x4.92x2.88,Very good,Australia,Pear,Excellent,60.0,1,,1118.08
8250,0.44,AGSL,SI1,F, ,61.7,,4.9x4.86x3.01,Excellent,Angola,Round,Excellent,58.0,1,,1074.47
8251,0.41,AGSL,SI1,E, ,62.7,,4.79x4.77x3,Excellent,Canada,Round,Excellent,53.0,1,,975.1525
8252,0.6,AGSL,VS1,M, ,62.4,,5.37x5.32x3.34,Excellent,Russia,Oval ,Very good,,1,,1851.4125
8253,0.51,AGSL,SI1,K, ,,,5.14x5.13x3.18,Excellent,Russia,Asscher,Excellent,,1,,1078.375
8254,0.43,AGSL,VS1,H, ,61.9,,4.85x4.84x3,Excellent,Russia,Princess,Excellent,58.0,1,,1120.2083333333335
8255,0.4,AGSL,VS2,F, ,60.9,False,4.82x4.79x2.93,Excellent,Russia,Round,Excellent,,1,,1084.3963293650793
8256,0.46,AGSL,SI2,E, ,60.0,,4.98x5x3, ,Russia,Round, ,61.0,1,,1030.1625595238097
8257,0.51,AGSL,VS2,K, ,62.0,,5.13x5.09x3.17,Very good,Russia,Oval,Very good,,1,,1074.5
8258,0.54,GemEx,VS2,L, ,60.4,,5.3x5.27x3.19,Excellent,Australia,Oval,Excellent,59.0,1,,1131.95
8259,0.41,,VS2,F, ,62.3,,4.78x4.77x2.97,Excellent,Australia,Round,Excellent,,1,,1030.9958333333334
8260,0.46,AGSL,SI2,D, ,63.9,,4.86x4.89x3.12, ,Russia,Round, ,,1,,1248.72
