id,Carats,Cert,Clarity,Color,Cut,Depth,Known_Conflict_Diamond,Measurements,Polish,Regions,Shape,Symmetry,Table,Vendor,Offers,Estimated_Offers,Adjusted_Offers,Estimated_Retail,ROI,Final_Offers
8068,0.42,GemEx,SI1,K, ,61.8,,4.83x4.8x2.98,Excellent,Russia,Round,Excellent,,1,,643.1317857142857,0.0,1038.2716666666668,inf,0.0
8069,0.41,AGSL,VS2,K, ,60.3,,4.83x4.79x2.9,Excellent,Russia,Round,Excellent,,1,,654.8875,0.0,1018.1875,inf,0.0
8070,0.4,AGSL,SI1,J, ,63.6,,4.67x4.64x2.96,Excellent,Botswana,Round,Excellent,58.0,1,,726.9767857142858,0.0,1065.2741666666664,inf,0.0
8071,0.4,AGSL,SI1,J, ,62.9,,4.64x4.62x2.91,Very good,Zimbabwe,Round,Good,59.0,1,,0.0,0.0,1268.8005952380954,inf,0.0
8072,0.41,GemEx,VS1,K, ,62.4,False,4.76x4.74x2.96,Excellent,Botswana,Round,Excellent,,1,,676.5,0.0,1051.7,inf,0.0
8073,0.4,AGSL,VS2,J, ,64.1,,4.64x4.6x2.96,Excellent,Russia,Round,Very good,59.0,1,,769.5425151237647,0.0,1262.9798408535905,inf,0.0
8074,0.4,,VVS1,K, ,61.7,,4.76x4.75x2.93,Very good,DR Congo,Oval,Excellent,58.0,1,,0.0,0.0,1067.025,inf,0.0
8075,0.4,AGSL,VVS1,K, ,60.2,False,4.81x4.77x2.88,Excellent,Russia,Radiant,Very good,61.0,1,,736.5666666666666,0.0,1064.325,inf,0.0
8076,0.4,AGSL,VVS1,K, ,61.9,,4.76x4.74x2.94,Excellent,Zimbabwe,Emerald,Very good,,1,,0.0,0.0,1089.0416666666665,inf,0.0
8077,0.44,,VS2,K, ,62.5,,4.88x4.87x3.05,Excellent,Botswana,Round,Excellent,57.0,1,,725.8,0.0,923.65,inf,0.0
8078,0.41,GemEx,SI2,H, ,64.1,,4.64x4.68x2.99, ,Canada,Round, ,57.0,1,,841.38,0.0,1387.3933333333332,inf,0.0
8079,0.4,AGSL,SI1,J, ,59.1,,4.82x4.79x2.84,Very good,Botswana,Asscher,Very good,61.0,1,,726.9767857142858,0.0,1065.2741666666664,inf,0.0
8080,0.4,AGSL,SI2,H, ,62.7,,4.75x4.72x2.97,Excellent,Canada,Pear,Excellent,55.0,1,,811.7,0.0,1202.5991666666664,inf,0.0
8081,0.43,AGSL,SI2,J, ,61.7,,4.82x4.77x2.96,Very good,DR Congo,Pear,Very good,59.0,1,,0.0,0.0,656.7333333333335,inf,0.0
8082,0.4,AGSL,SI2,G, ,62.4,,4.73x4.7x2.95,Very good,Australia,Round,Very good,57.0,1,,767.8645436507937,0.0,1427.6119841269842,inf,0.0
8083,0.4,AGSL,SI2,G, ,,,4.72x4.7x2.93,Very good,Botswana,Round,Excellent,,1,,861.7719612332113,0.0,1394.7817784992785,inf,0.0
8084,0.4,AGSL,SI1,J, ,62.0,,4.75x4.72x2.94,Very good,Botswana,Marquise,Excellent,,1,,726.9767857142858,0.0,1065.2741666666664,inf,0.0
8085,0.4,,SI2,H, ,63.0,,4.68x4.66x2.94,Excellent,Other/Unknown,Emerald,Excellent,,1,,900.8561904761905,0.0,1404.177619047619,inf,0.0
8086,0.4,AGSL,SI1,I, ,,,4.69x4.64x3,Excellent,Botswana,Princess,Very good,,1,,832.4641756854256,0.0,1238.3830379342878,inf,0.0
8087,0.41,GemEx,SI1,J, ,63.1,False,4.73x4.69x2.97,Excellent,Botswana,Round,Very good,58.0,1,,792.4816666666666,0.0,1192.5258333333334,inf,0.0
8088,0.4,AGSL,VVS1,J, ,,,4.62x4.59x2.97,Very good,Angola,Round,Good,,1,,0.0,0.0,1108.7955952380953,inf,0.0
8089,0.41,AGSL,SI2,J, ,62.7,,4.72x4.74x2.97, ,South Africa,Round, ,,1,,722.9791666666665,0.0,1085.05,inf,0.0
8090,0.4,AGSL,VS1,J, ,63.2,,4.67x4.65x2.95,Very good,Botswana,Round,Very good,57.0,2,,778.2809523809524,0.0,1190.3941666666665,inf,0.0
8091,0.41,AGSL,VVS2,J, ,62.3,,4.78x4.74x2.97,Excellent,South Africa,Princess,Very good,58.0,1,,827.9083333333334,0.0,1096.1666666666667,inf,0.0
8092,0.4,AGSL,SI2,E, ,63.3,,4.6x4.64x2.92, ,Russia,Round, ,57.0,1,,862.8133856421354,0.0,1414.0357034632034,inf,0.0
8093,0.4,,SI2,E, ,61.4,,4.74x4.75x2.92, ,Botswana,Emerald, ,59.0,1,,868.1453878066377,0.0,1375.392635281385,inf,0.0
8094,0.4,AGSL,SI2,E, ,,,4.69x4.74x2.94, ,Russia,Radiant, ,57.0,1,,862.8133856421354,0.0,1414.0357034632034,inf,0.0
8095,0.4,,VS2,J, ,59.3,,4.77x4.8x2.84,Excellent,Russia,Princess,Excellent,,1,,769.5425151237647,0.0,1262.9798408535905,inf,0.0
8096,0.4,AGSL,SI2,E, ,,,4.83x4.86x2.81, ,Botswana,Round, ,,1,,868.1453878066377,0.0,1375.392635281385,inf,0.0
8097,0.4,AGSL,SI2,E, ,62.0,,4.68x4.7x2.91, ,South Africa,ROUND, ,56.0,1,,875.2635912698413,0.0,1241.0364484126985,inf,0.0
8098,0.4,AGSL,SI2,E, ,,,4.7x4.74x2.93, ,Russia,Asscher, ,56.0,1,,862.8133856421354,0.0,1414.0357034632034,inf,0.0
8099,0.4,AGSL,SI2,E, ,63.6,,4.65x4.67x2.97, ,South Africa,Round, ,55.0,1,,875.2635912698413,0.0,1241.0364484126985,inf,0.0
8100,0.4,AGSL,SI2,E, ,63.2,False,4.62x4.65x2.93, ,Botswana,Round, ,,1,,868.1453878066377,0.0,1375.392635281385,inf,0.0
8101,0.5,AGSL,VS1,M, ,64.1,,5.02x5x3.21,Very good,Australia,Round,Very good,,1,,966.15,0.0,1531.333333333333,inf,0.0
8102,0.4,AGSL,VS2,I, ,62.5,False,4.66x4.65x2.91,Very good,DR Congo,Radiant,Very good,59.0,1,,0.0,0.0,841.4130952380953,inf,0.0
8103,0.4,AGSL,SI2,F, ,61.7,,4.73x4.72x2.91,Very good,Canada,Round,Very good,,1,,942.0930555555555,0.0,1519.0830717893216,inf,0.0
8104,0.43,,SI2,H, ,62.4,,4.81x4.79x2.99,Excellent,Russia,Oval,Excellent,57.0,1,,837.1666666666667,0.0,1369.4508333333333,inf,0.0
8105,0.4,AGSL,SI1,G, ,63.8,,4.67x4.63x2.97,Very good,Australia,Asscher,Excellent,56.0,1,,884.5522023809524,0.0,1524.8323484848486,inf,0.0
8106,0.4,AGSL,SI1,F, ,64.6,,4.65x4.62x2.99,Very good,Russia,Oval,Excellent,56.0,1,,945.0183585858587,0.0,1561.8494444444443,inf,0.0
8107,0.41,AGSL,SI2,E, ,,,4.67x4.69x2.98, ,Russia,Emerald, ,59.0,1,,864.4395833333334,0.0,1408.549166666667,inf,0.0
8108,0.4,AGSL,SI1,I, ,63.0,,4.67x4.66x2.94,Excellent,Botswana,ROUND,Very good,58.0,1,,832.4641756854256,0.0,1238.3830379342878,inf,0.0
8109,0.4,AGSL,SI1,I, ,,,4.72x4.68x2.96,Very good,Australia,Round,Very good,,1,,858.4926785714287,0.0,1426.229007936508,inf,0.0
8110,0.51,AGSL,SI1,M, ,62.6,,5.09x5.04x3.17,Very good,Russia,Round,Very good,,2,,849.35625,0.0,1338.5,inf,0.0
8111,0.41,AGSL,SI2,F, ,61.9,,4.69x4.75x2.92, ,Russia,Round, ,59.0,1,,915.339623015873,0.0,1432.9422420634917,inf,0.0
8112,0.4,AGSL,SI2,F, ,61.9,False,4.73x4.74x2.93, ,Russia,Round, ,56.0,1,,926.4124999999999,0.0,1526.221488095238,inf,0.0
8113,0.4,AGSL,SI1,F, ,,,4.62x4.61x3.01,Very good,Australia,Pear,Excellent,57.0,1,,944.3150000000002,0.0,1549.1591666666664,inf,0.0
8114,0.4,GemEx,SI2,H, ,,,4.77x4.74x2.89,Excellent,DR Congo,Round,Excellent,58.0,1,,0.0,0.0,1214.0833333333333,inf,0.0
8115,0.4,AGSL,SI1,I, ,,,4.73x4.71x2.94,Very good,Russia,Round,Very good,58.0,1,,851.125912698413,0.0,1404.465277777778,inf,0.0
8116,0.4,AGSL,SI1,H, ,63.2,,4.7x4.68x2.97,Very good,Canada,Emerald,Very good,55.0,1,,887.5263095238098,0.0,1445.1699999999996,inf,0.0
8117,0.4,AGSL,VS1,I, ,64.8,,4.63x4.6x2.99,Very good,Australia,Round,Very good,56.0,1,,955.8297619047619,0.0,1599.5708333333334,inf,0.0
8118,0.42,AGSL,SI1,I, ,60.8,,4.87x4.84x2.95,Excellent,Canada,Oval,Excellent,58.0,1,,881.58,0.0,1353.2666666666667,inf,0.0
8119,0.41,AGSL,VS2,J, ,60.5,,4.84x4.81x2.92,Excellent,Other/Unknown,Round,Excellent,58.0,1,,809.8,0.0,1278.2541666666666,inf,0.0
8120,0.4,AGSL,SI1,I, ,62.1,,4.75x4.73x2.94,Very good,Angola,Round,Excellent,,1,,0.0,0.0,1063.6058333333333,inf,0.0
8121,0.4,AGSL,SI1,F, ,64.1,False,4.69x4.66x2.99,Very good,Other/Unknown,Round,Very good,,1,,939.4908333333334,0.0,1515.9008333333334,inf,0.0
8122,0.4,AGSL,SI1,I, ,63.0,,4.68x4.64x2.94,Very good,Canada,Princess,Very good,60.0,1,,843.1250595238096,0.0,1280.6494444444443,inf,0.0
8123,0.4,AGSL,SI1,F, ,59.2,,4.83x4.8x2.85,Very good,Australia,Oval ,Very good,63.0,1,,944.3150000000002,0.0,1549.1591666666664,inf,0.0
8124,0.41,AGSL,SI1,I, ,63.4,,4.7x4.69x2.98,Very good,Botswana,Round,Very good,57.0,1,,839.6691756854256,0.0,1266.0512499999998,inf,0.0
8125,0.43,AGSL,IF,K, ,60.8,,4.9x4.87x2.97,Excellent,Russia,Round,Excellent,59.0,1,,721.3166666666666,0.0,1089.8079166666666,inf,0.0
8126,0.4,AGSL,SI1,G, ,63.6,,4.65x4.64x2.95,Very good,DR Congo,Round,Excellent,59.0,1,,0.0,0.0,1404.1673809523809,inf,0.0
8127,0.41,AGSL,SI2,G, ,61.9,False,4.75x4.74x2.94,Very good,Russia,Round,Excellent,,1,,876.6157936507933,0.0,1489.151111111111,inf,0.0
8128,0.4,AGSL,SI2,G, ,62.9,,4.64x4.69x2.94, ,Russia,Round, ,,1,,832.1297809135308,0.0,1352.4566820679322,inf,0.0
8129,0.41,AGSL,SI1,I, ,,,4.76x4.75x2.95,Excellent,Botswana,Round,Excellent,,1,,839.6691756854256,0.0,1266.0512499999998,inf,0.0
8130,0.4,AGSL,SI2,F, ,61.7,,4.74x4.71x2.92,Very good,Russia,Round,Excellent,60.0,1,,926.4124999999999,0.0,1526.221488095238,inf,0.0
8131,0.41,AGSL,SI1,I, ,63.7,,4.71x4.68x2.99,Excellent,Russia,Princess,Excellent,57.0,1,,863.5474007936509,0.0,1431.1930952380953,inf,0.0
8132,0.4,AGSL,VS2,H, ,,,4.61x4.57x2.98,Excellent,Botswana,Round,Good,,1,,999.8266666666666,0.0,1598.7295238095237,inf,0.0
8133,0.4,AGSL,SI1,F, ,63.2,,4.7x4.67x2.96,Very good,Angola,Round,Very good,56.0,1,,0.0,0.0,1430.7482142857143,inf,0.0
8134,0.4,AGSL,VS1,I, ,61.9,,4.71x4.68x2.91,Very good,Canada,Round,Good,57.0,1,,947.38,0.0,1463.8125,inf,0.0
8135,0.4,AGSL,VS2,I, ,63.4,,4.67x4.64x2.95,Very good,South Africa,Radiant,Very good,58.0,1,,831.1912500000002,0.0,1293.4608333333333,inf,0.0
8136,0.4,AGSL,VVS2,I, ,62.7,,4.69x4.67x2.93,Very good,Canada,Princess,Very good,60.0,1,,877.4217857142858,0.0,1327.3191666666667,inf,0.0
8137,0.4,AGSL,VS1,I, ,62.4,,4.73x4.69x2.94,Excellent,Russia,Cushion,Good,,1,,1007.0539285714287,0.0,1641.5471428571427,inf,0.0
8138,0.4,AGSL,VS2,I, ,62.9,,4.73x4.7x2.97,Excellent,South Africa,Radiant,Very good,,1,,831.1912500000002,0.0,1293.4608333333333,inf,0.0
8139,0.41,AGSL,SI2,H, ,61.9,,4.77x4.79x2.95, ,Angola,Pear, ,58.0,1,,0.0,0.0,1268.7166666666667,inf,0.0
8140,0.41,AGSL,SI2,G, ,59.6,,4.83x4.88x2.89, ,Russia,Round, ,59.0,1,,876.6157936507933,0.0,1489.151111111111,inf,0.0
8141,0.41,,VS1,J, ,62.5,,4.77x4.74x2.97,Excellent,Russia,Round,Excellent,,1,,819.9708333333333,0.0,1327.9833333333331,inf,0.0
8142,0.42,AGSL,SI2,G, ,62.6,,4.8x4.75x2.99,Very good,Angola,Round,Very good,,1,,0.0,0.0,846.1791666666664,inf,0.0
8143,0.4,AGSL,SI1,E, ,64.1,,4.59x4.63x2.96, ,Russia,Oval, ,57.0,1,,1026.515900247628,0.0,1582.2268641897308,inf,0.0
8144,0.4,AGSL,VS2,I, ,,,4.64x4.61x2.92,Very good,Russia,Round,Very good,,1,,866.6072344322343,0.0,1385.8025641025642,inf,0.0
8145,0.41,AGSL,SI1,H, ,61.1,,4.82x4.8x2.94,Excellent,Angola,Round,Very good,58.0,1,,0.0,0.0,1351.0666666666668,inf,0.0
8146,0.44,AGSL,SI2,I, ,,,4.89x4.87x3.04,Excellent,Russia,Oval ,Excellent,57.0,1,,915.3616666666666,0.0,1524.425,inf,0.0
8147,0.4,AGSL,SI1,F, ,62.1,,4.73x4.72x2.93,Good,Canada,Round,Excellent,,1,,939.3475000000002,0.0,1498.4408333333333,inf,0.0
8148,0.4,AGSL,SI1,G, ,62.1,,4.7x4.68x2.92,Excellent,Russia,Round,Very good,59.0,1,,846.4091552891551,0.0,1396.3949186924187,inf,0.0
8149,0.4,AGSL,SI2,I, ,61.1,,4.74x4.76x2.91, ,Botswana,Princess, ,58.0,1,,860.9066666666668,0.0,1380.6875,inf,0.0
8150,0.4,AGSL,SI2,F, ,,,4.74x4.71x2.95,Very good,Canada,Radiant,Very good,,1,,942.0930555555555,0.0,1519.0830717893216,inf,0.0
8151,0.4,AGSL,SI1,G, ,62.4,,4.72x4.69x2.94,Excellent,Russia,Round,Very good,58.0,1,,846.4091552891551,0.0,1396.3949186924187,inf,0.0
8152,0.4,AGSL,SI1,F, ,62.7,,4.67x4.62x2.91,Very good,Canada,Round,Very good,59.0,1,,939.3475000000002,0.0,1498.4408333333333,inf,0.0
8153,0.4,AGSL,VVS1,I, ,63.2,,4.66x4.64x2.94,Excellent,Canada,Emerald,Very good,,1,,849.85,0.0,1201.2833333333333,inf,0.0
8154,0.4,GemEx,SI2,E, ,61.7,False,4.7x4.68x2.9,Excellent,Botswana,Round,Very good,58.0,1,,868.1453878066377,0.0,1375.392635281385,inf,0.0
8155,0.4,AGSL,SI1,F, ,63.0,,4.7x4.67x2.95,Very good,Russia,Princess,Good,55.0,1,,945.0183585858587,0.0,1561.8494444444443,inf,0.0
8156,0.41,AGSL,SI2,F, ,62.1,,4.74x4.77x2.95, ,Canada,Round, ,,1,,1010.1719047619048,0.0,1624.4717857142857,inf,0.0
8157,0.41,AGSL,SI2,F, ,62.7,,4.71x4.75x2.97, ,Botswana,Princess, ,,1,,941.152261904762,0.0,1320.690357142857,inf,0.0
8158,0.4,AGSL,VS2,I, ,62.6,,4.72x4.67x2.94,Excellent,Russia,Round,Very good,58.0,1,,866.6072344322343,0.0,1385.8025641025642,inf,0.0
8159,0.4,AGSL,SI1,F, ,58.9,,4.87x4.85x2.86,Excellent,Russia,Marquise,Excellent,,1,,945.0183585858587,0.0,1561.8494444444443,inf,0.0
8160,0.41,AGSL,SI2,H, ,61.8,,4.76x4.79x2.95, ,Russia,Round, ,58.0,1,,738.3283333333333,0.0,1412.4399999999996,inf,0.0
8161,0.4,AGSL,SI1,H, ,62.3,,4.72x4.7x2.93,Excellent,Australia,Round,Very good,,1,,866.8648809523811,0.0,1434.66125,inf,0.0
8162,0.4,AGSL,SI1,H, ,59.1,,4.84x4.82x2.85,Excellent,Russia,Princess,Very good,60.0,1,,867.2277110389613,0.0,1409.4781475468976,inf,0.0
8163,0.4,AGSL,SI2,D, ,59.7,,4.82x4.79x2.87,Very good,DR Congo,Round,Very good,,1,,0.0,0.0,1694.6075,inf,0.0
8164,0.42,AGSL,SI2,F, ,61.8,,4.83x4.8x2.98,Very good,Russia,Round,Very good,59.0,1,,892.4741071428571,0.0,1415.2905753968248,inf,0.0
8165,0.44,AGSL,VS2,J, ,61.5,,4.9x4.89x3.01,Excellent,Russia,Princess,Excellent,58.0,1,,809.6333333333333,0.0,1316.15,inf,0.0
8166,0.43,AGSL,SI1,I, ,62.4,,4.84x4.81x3.01,Excellent,Angola,Round,Excellent,56.0,1,,0.0,0.0,1385.66,inf,0.0
8167,0.4,AGSL,SI1,G, ,62.5,False,4.72x4.68x2.94,Excellent,Botswana,Round,Excellent,59.0,1,,1043.1008333333332,0.0,1521.2672619047619,inf,0.0
8168,0.41,AGSL,SI1,F, ,63.4,,4.7x4.66x2.97,Excellent,Australia,Round,Very good,,1,,958.3739285714286,0.0,1559.4990476190474,inf,0.0
8169,0.41,AGSL,SI2,F, ,62.1,,4.77x4.74x2.95,Excellent,Angola,Pear,Excellent,57.0,2,,0.0,0.0,1434.6,inf,0.0
8170,0.4,AGSL,SI2,G, ,61.1,,4.75x4.76x2.91, ,Russia,Round, ,,1,,832.1297809135308,0.0,1352.4566820679322,inf,0.0
8171,0.41,AGSL,VVS2,I, ,62.5,,4.79x4.77x2.99,Very good,Angola,Round,Very good,56.0,1,,0.0,0.0,1230.225,inf,0.0
8172,0.4,AGSL,SI1,E, ,63.7,,4.71x4.67x2.99,Very good,Russia,Round,Very good,55.0,2,,1026.515900247628,0.0,1582.2268641897308,inf,0.0
8173,0.45,AGSL,VS1,J, ,61.6,,4.96x4.93x3.04,Excellent,Botswana,Round,Very good,57.0,1,,858.35,0.0,1434.25,inf,0.0
8174,0.4,,SI1,H, ,61.1,,4.78x4.75x2.91,Excellent,Australia,Round,Excellent,58.0,1,,866.8648809523811,0.0,1434.66125,inf,0.0
8175,0.4,AGSL,SI2,E, ,,,4.83x4.8x2.83,Very good,Russia,Round,Very good,61.0,1,,862.8133856421354,0.0,1414.0357034632034,inf,0.0
8176,0.4,,SI1,F, ,62.4,,4.71x4.69x2.94,Very good,Other/Unknown,Emerald,Excellent,,1,,939.4908333333334,0.0,1515.9008333333334,inf,0.0
8177,0.41,AGSL,VS2,I, ,61.3,,4.8x4.78x2.94,Very good,Australia,Round,Excellent,58.0,1,,868.2766666666668,0.0,1438.3166666666668,inf,0.0
8178,0.42,AGSL,SI2,E, ,,,4.76x4.8x3.02, ,Botswana,Oval , ,56.0,1,,981.4849404761906,0.0,1504.003373015873,inf,0.0
8179,0.4,AGSL,SI2,H, ,62.1,,4.7x4.75x2.94, ,Russia,Round, ,57.0,1,,832.0564484126985,0.0,1369.3950396825396,inf,0.0
8180,0.4,AGSL,VS1,I, ,62.7,,4.69x4.67x2.94,Excellent,Angola,Round,Very good,60.0,1,,0.0,0.0,1081.5325,inf,0.0
8181,0.4,AGSL,SI1,I, ,62.2,,4.75x4.76x2.96, ,Russia,Round, ,56.0,1,,851.125912698413,0.0,1404.465277777778,inf,0.0
8182,0.5,AGSL,VS1,K, ,,,4.96x4.89x3.16,Very good,Botswana,Round,Good,,1,,1067.5,0.0,1688.3208333333334,inf,0.0
8183,0.4,AGSL,SI2,E, ,59.6,,4.82x4.8x2.87,Excellent,Russia,Round,Very good,58.0,1,,862.8133856421354,0.0,1414.0357034632034,inf,0.0
8184,0.4,AGSL,SI2,E, ,59.8,,4.82x4.8x2.87,Excellent,Russia,Round,Very good,,1,,862.8133856421354,0.0,1414.0357034632034,inf,0.0
8185,0.41,AGSL,VS1,I, ,61.7,,4.8x4.76x2.95,Excellent,Russia,Round,Good,56.0,1,,955.8947619047619,0.0,1569.53,inf,0.0
8186,0.4,AGSL,SI2,E, ,62.2,False,4.76x4.73x2.95,Excellent,Canada,Round,Very good,56.0,1,,917.3887950937948,0.0,1389.2710678210674,inf,0.0
8187,0.4,AGSL,SI2,D, ,64.0,,4.64x4.61x2.96,Very good,Russia,Asscher,Excellent,,1,,1035.7425,0.0,1688.0997222222222,inf,0.0
8188,0.43,AGSL,SI2,E, ,61.9,,4.83x4.84x2.99, ,Russia,Round, ,58.0,1,,1073.1416666666667,0.0,1809.1500000000003,inf,0.0
8189,0.4,GemEx,SI2,E, ,,,4.72x4.76x2.93, ,Botswana,Round, ,,1,,868.1453878066377,0.0,1375.392635281385,inf,0.0
8190,0.44,,SI2,F, ,62.2,,4.9x4.88x3.04,Very good,Australia,Round,Excellent,57.0,1,,961.025,0.0,1569.15,inf,0.0
8191,0.41,AGSL,SI1,G, ,62.1,,4.75x4.74x2.95,Very good,Russia,Marquise,Excellent,58.0,1,,885.3928571428571,0.0,1462.7580952380952,inf,0.0
8192,0.4,AGSL,SI1,H, ,60.1,,4.8x4.76x2.87,Excellent,Russia,Round,Excellent,60.0,1,,867.2277110389613,0.0,1409.4781475468976,inf,0.0
8193,0.4,,SI2,G, ,60.3,,4.77x4.79x2.88, ,Australia,Round, ,60.0,1,,767.8645436507937,0.0,1427.6119841269842,inf,0.0
8194,0.4,AGSL,VVS2,H, ,63.9,,4.63x4.62x2.96,Excellent,Angola,Radiant,Very good,58.0,1,,0.0,0.0,1275.125,inf,0.0
8195,0.4,AGSL,SI1,D, ,64.9,,4.6x4.56x2.98,Very good,DR Congo,Round,Good,59.0,1,,0.0,0.0,1711.0091666666665,inf,0.0
8196,0.41,AGSL,VS2,H, ,,True,4.86x4.83x2.91,Excellent,Angola,Round,Excellent,59.0,1,,0.0,0.0,1119.5657738095238,inf,0.0
8197,0.43,AGSL,SI2,F, ,62.6,,4.82x4.85x3.03, ,Russia,Round, ,57.0,1,,804.2761904761904,0.0,1409.075238095238,inf,0.0
8198,0.42,,SI1,G, ,60.3,,4.89x4.87x2.95,Excellent,Angola,Round,Excellent,58.0,1,,0.0,0.0,821.8658333333334,inf,0.0
8199,0.41,AGSL,VVS1,I, ,61.9,,4.81x4.79x2.97,Excellent,Russia,Round,Very good,57.0,1,,871.0033333333333,0.0,1387.7311904761905,inf,0.0
8200,0.5,AGSL,SI2,K, ,62.9,,5.06x5.02x3.17,Very good,Botswana,Pear,Very good,,1,,1137.3875,0.0,1688.2250000000004,inf,0.0
8201,0.46,AGSL,SI1,J, ,62.7,,4.89x4.91x3.07, ,Russia,Round, ,58.0,1,,928.25,0.0,1543.35,inf,0.0
8202,0.4,AGSL,SI1,E, ,63.2,,4.71x4.68x2.96,Very good,Canada,Oval,Very good,,1,,999.718992771934,0.0,1540.0260912698413,inf,0.0
8203,0.41,AGSL,SI2,D, ,63.4,,4.71x4.68x2.98,Excellent,Russia,ROUND,Very good,58.0,2,,996.5850000000002,0.0,1669.262738095238,inf,0.0
8204,0.4,AGSL,VS2,H, ,,,4.75x4.73x2.94,Excellent,DR Congo,Oval ,Excellent,59.0,1,,0.0,0.0,1283.65,inf,0.0
8205,0.4,AGSL,SI1,D, ,60.8,,4.73x4.68x2.86,Very good,Botswana,Round,Good,62.0,1,,1148.4536111111113,0.0,1587.5644444444445,inf,0.0
8206,0.4,AGSL,SI1,D, ,63.0,False,4.72x4.68x2.96,Very good,Russia,Round,Very good,58.0,1,,1108.942215007215,0.0,1661.8629473304477,inf,0.0
8207,0.4,AGSL,VS1,G, ,64.1,,4.66x4.62x2.97,Excellent,Russia,Round,Very good,57.0,1,,951.6546031746033,0.0,1538.9923809523807,inf,0.0
8208,0.42,AGSL,SI2,D, ,60.9,,4.84x4.88x2.96, ,Russia,Radiant, ,56.0,1,,1107.5433333333333,0.0,1823.4258333333335,inf,0.0
8209,0.4,GemEx,SI1,E, ,62.5,,4.72x4.7x2.95,Very good,Australia,Round,Good,,1,,977.1501420393331,0.0,1564.6999358974356,inf,0.0
8210,0.4,AGSL,SI1,E, ,61.2,,4.76x4.72x2.9,Excellent,DR Congo,Marquis,Very good,59.0,1,,0.0,0.0,1446.6396978021978,inf,0.0
8211,0.4,AGSL,VS2,G, ,63.7,,4.72x4.68x2.99,Very good,Australia,Princess,Very good,,1,,994.0,0.0,1599.1738095238095,inf,0.0
8212,0.42,AGSL,SI2,E, ,60.7,,4.89x4.86x2.96,Excellent,South Africa,Round,Very good,57.0,1,,933.7958333333332,0.0,1282.2686904761904,inf,0.0
8213,0.4,AGSL,VS2,G, ,62.4,,4.7x4.68x2.92,Excellent,Russia,Radiant,Excellent,,1,,970.1542460317462,0.0,1402.7365674603175,inf,0.0
