id,Carats,Cert,Clarity,Color,Cut,Depth,Known_Conflict_Diamond,Measurements,Polish,Regions,Shape,Symmetry,Table,Vendor,Offers,Estimated_Offers,Adjusted_Offers,Final_Offers
8073,0.4,AGSL,VS2,J, ,64.1,,4.64x4.6x2.96,Excellent,Russia,Round,Very good,59.0,1,,767.7258884171383,767.7258884171383,767.7258884171383
8074,0.4,,VVS1,K, ,61.7,,4.76x4.75x2.93,Very good,DR Congo,Oval,Excellent,58.0,1,,709.56,0.0,0.0
8075,0.4,AGSL,VVS1,K, ,60.2,False,4.81x4.77x2.88,Excellent,Russia,Radiant,Very good,61.0,1,,738.7083333333335,738.7083333333335,738.7083333333335
8076,0.4,AGSL,VVS1,K, ,61.9,,4.76x4.74x2.94,Excellent,Zimbabwe,Emerald,Very good,,1,,709.56,0.0,0.0
8077,0.44,,VS2,K, ,62.5,,4.88x4.87x3.05,Excellent,Botswana,Round,Excellent,57.0,1,,716.7833333333334,716.7833333333334,716.7833333333334
8078,0.41,GemEx,SI2,H, ,64.1,,4.64x4.68x2.99, ,Canada,Round, ,57.0,1,,850.85,850.85,850.85
8079,0.4,AGSL,SI1,J, ,59.1,,4.82x4.79x2.84,Very good,Botswana,Asscher,Very good,61.0,1,,730.7507142857143,730.7507142857143,730.7507142857143
8080,0.4,AGSL,SI2,H, ,62.7,,4.75x4.72x2.97,Excellent,Canada,Pear,Excellent,55.0,1,,814.6553571428572,814.6553571428572,814.6553571428572
8081,0.43,AGSL,SI2,J, ,61.7,,4.82x4.77x2.96,Very good,DR Congo,Pear,Very good,59.0,1,,719.74,0.0,0.0
8082,0.4,AGSL,SI2,G, ,62.4,,4.73x4.7x2.95,Very good,Australia,Round,Very good,57.0,1,,762.4,762.4,762.4
8083,0.4,AGSL,SI2,G, ,,,4.72x4.7x2.93,Very good,Botswana,Round,Excellent,,1,,871.4720833333333,871.4720833333333,871.4720833333333
8084,0.4,AGSL,SI1,J, ,62.0,,4.75x4.72x2.94,Very good,Botswana,Marquise,Excellent,,1,,730.7507142857143,730.7507142857143,730.7507142857143
8085,0.4,,SI2,H, ,63.0,,4.68x4.66x2.94,Excellent,Other/Unknown,Emerald,Excellent,,1,,845.9,845.9,845.9
8086,0.4,AGSL,SI1,I, ,,,4.69x4.64x3,Excellent,Botswana,Princess,Very good,,1,,826.1073214285713,826.1073214285713,826.1073214285713
8087,0.41,GemEx,SI1,J, ,63.1,False,4.73x4.69x2.97,Excellent,Botswana,Round,Very good,58.0,1,,771.917976190476,771.917976190476,771.917976190476
8088,0.4,AGSL,VVS1,J, ,,,4.62x4.59x2.97,Very good,Angola,Round,Good,,1,,635.7361904761905,0.0,0.0
8089,0.41,AGSL,SI2,J, ,62.7,,4.72x4.74x2.97, ,South Africa,Round, ,,1,,728.8333333333333,728.8333333333333,728.8333333333333
8090,0.4,AGSL,VS1,J, ,63.2,,4.67x4.65x2.95,Very good,Botswana,Round,Very good,57.0,2,,793.0290476190477,793.0290476190477,793.0290476190477
8091,0.41,AGSL,VVS2,J, ,62.3,,4.78x4.74x2.97,Excellent,South Africa,Princess,Very good,58.0,1,,823.7166666666666,823.7166666666666,823.7166666666666
8092,0.4,AGSL,SI2,E, ,63.3,,4.6x4.64x2.92, ,Russia,Round, ,57.0,1,,861.4600038850039,861.4600038850039,861.4600038850039
8093,0.4,,SI2,E, ,61.4,,4.74x4.75x2.92, ,Botswana,Emerald, ,59.0,1,,898.9702398989898,898.9702398989898,898.9702398989898
8094,0.4,AGSL,SI2,E, ,,,4.69x4.74x2.94, ,Russia,Radiant, ,57.0,1,,861.4600038850039,861.4600038850039,861.4600038850039
8095,0.4,,VS2,J, ,59.3,,4.77x4.8x2.84,Excellent,Russia,Princess,Excellent,,1,,767.7258884171383,767.7258884171383,767.7258884171383
8096,0.4,AGSL,SI2,E, ,,,4.83x4.86x2.81, ,Botswana,Round, ,,1,,898.9702398989898,898.9702398989898,898.9702398989898
8097,0.4,AGSL,SI2,E, ,62.0,,4.68x4.7x2.91, ,South Africa,ROUND, ,56.0,1,,876.2799242424243,876.2799242424243,876.2799242424243
8098,0.4,AGSL,SI2,E, ,,,4.7x4.74x2.93, ,Russia,Asscher, ,56.0,1,,861.4600038850039,861.4600038850039,861.4600038850039
8099,0.4,AGSL,SI2,E, ,63.6,,4.65x4.67x2.97, ,South Africa,Round, ,55.0,1,,876.2799242424243,876.2799242424243,876.2799242424243
8100,0.4,AGSL,SI2,E, ,63.2,False,4.62x4.65x2.93, ,Botswana,Round, ,,1,,898.9702398989898,898.9702398989898,898.9702398989898
8101,0.5,AGSL,VS1,M, ,64.1,,5.02x5x3.21,Very good,Australia,Round,Very good,,1,,886.15,886.15,886.15
8102,0.4,AGSL,VS2,I, ,62.5,False,4.66x4.65x2.91,Very good,DR Congo,Radiant,Very good,59.0,1,,847.9795833333333,0.0,0.0
8103,0.4,AGSL,SI2,F, ,61.7,,4.73x4.72x2.91,Very good,Canada,Round,Very good,,1,,881.8784523809522,881.8784523809522,881.8784523809522
8104,0.43,,SI2,H, ,62.4,,4.81x4.79x2.99,Excellent,Russia,Oval,Excellent,57.0,1,,823.9966666666666,823.9966666666666,823.9966666666666
8105,0.4,AGSL,SI1,G, ,63.8,,4.67x4.63x2.97,Very good,Australia,Asscher,Excellent,56.0,1,,898.5769413919415,898.5769413919415,898.5769413919415
8106,0.4,AGSL,SI1,F, ,64.6,,4.65x4.62x2.99,Very good,Russia,Oval,Excellent,56.0,1,,890.292142857143,890.292142857143,890.292142857143
8107,0.41,AGSL,SI2,E, ,,,4.67x4.69x2.98, ,Russia,Emerald, ,59.0,1,,869.1397730047731,869.1397730047731,869.1397730047731
8108,0.4,AGSL,SI1,I, ,63.0,,4.67x4.66x2.94,Excellent,Botswana,ROUND,Very good,58.0,1,,826.1073214285713,826.1073214285713,826.1073214285713
8109,0.4,AGSL,SI1,I, ,,,4.72x4.68x2.96,Very good,Australia,Round,Very good,,1,,849.606130952381,849.606130952381,849.606130952381
8110,0.51,AGSL,SI1,M, ,62.6,,5.09x5.04x3.17,Very good,Russia,Round,Very good,,2,,816.475,816.475,816.475
8111,0.41,AGSL,SI2,F, ,61.9,,4.69x4.75x2.92, ,Russia,Round, ,59.0,1,,919.8069642857145,919.8069642857145,919.8069642857145
8112,0.4,AGSL,SI2,F, ,61.9,False,4.73x4.74x2.93, ,Russia,Round, ,56.0,1,,893.8963095238099,893.8963095238099,893.8963095238099
8113,0.4,AGSL,SI1,F, ,,,4.62x4.61x3.01,Very good,Australia,Pear,Excellent,57.0,1,,951.1666666666667,951.1666666666667,951.1666666666667
8114,0.4,GemEx,SI2,H, ,,,4.77x4.74x2.89,Excellent,DR Congo,Round,Excellent,58.0,1,,776.235,0.0,0.0
8115,0.4,AGSL,SI1,I, ,,,4.73x4.71x2.94,Very good,Russia,Round,Very good,58.0,1,,850.8972893772891,850.8972893772891,850.8972893772891
8116,0.4,AGSL,SI1,H, ,63.2,,4.7x4.68x2.97,Very good,Canada,Emerald,Very good,55.0,1,,846.2011111111111,846.2011111111111,846.2011111111111
8117,0.4,AGSL,VS1,I, ,64.8,,4.63x4.6x2.99,Very good,Australia,Round,Very good,56.0,1,,913.0083333333333,913.0083333333333,913.0083333333333
8118,0.42,AGSL,SI1,I, ,60.8,,4.87x4.84x2.95,Excellent,Canada,Oval,Excellent,58.0,1,,877.3,877.3,877.3
8119,0.41,AGSL,VS2,J, ,60.5,,4.84x4.81x2.92,Excellent,Other/Unknown,Round,Excellent,58.0,1,,809.8197619047619,809.8197619047619,809.8197619047619
8120,0.4,AGSL,SI1,I, ,62.1,,4.75x4.73x2.94,Very good,Angola,Round,Excellent,,1,,841.1835119047619,0.0,0.0
8121,0.4,AGSL,SI1,F, ,64.1,False,4.69x4.66x2.99,Very good,Other/Unknown,Round,Very good,,1,,937.3826190476192,937.3826190476192,937.3826190476192
8122,0.4,AGSL,SI1,I, ,63.0,,4.68x4.64x2.94,Very good,Canada,Princess,Very good,60.0,1,,852.4565476190477,852.4565476190477,852.4565476190477
8123,0.4,AGSL,SI1,F, ,59.2,,4.83x4.8x2.85,Very good,Australia,Oval ,Very good,63.0,1,,951.1666666666667,951.1666666666667,951.1666666666667
8124,0.41,AGSL,SI1,I, ,63.4,,4.7x4.69x2.98,Very good,Botswana,Round,Very good,57.0,1,,858.8235714285714,858.8235714285714,858.8235714285714
8125,0.43,AGSL,IF,K, ,60.8,,4.9x4.87x2.97,Excellent,Russia,Round,Excellent,59.0,1,,731.9333333333334,731.9333333333334,731.9333333333334
8126,0.4,AGSL,SI1,G, ,63.6,,4.65x4.64x2.95,Very good,DR Congo,Round,Excellent,59.0,1,,892.9842857142858,0.0,0.0
8127,0.41,AGSL,SI2,G, ,61.9,False,4.75x4.74x2.94,Very good,Russia,Round,Excellent,,1,,878.4283152958151,878.4283152958151,878.4283152958151
8128,0.4,AGSL,SI2,G, ,62.9,,4.64x4.69x2.94, ,Russia,Round, ,,1,,831.3944325037704,831.3944325037704,831.3944325037704
8129,0.41,AGSL,SI1,I, ,,,4.76x4.75x2.95,Excellent,Botswana,Round,Excellent,,1,,858.8235714285714,858.8235714285714,858.8235714285714
8130,0.4,AGSL,SI2,F, ,61.7,,4.74x4.71x2.92,Very good,Russia,Round,Excellent,60.0,1,,893.8963095238099,893.8963095238099,893.8963095238099
8131,0.41,AGSL,SI1,I, ,63.7,,4.71x4.68x2.99,Excellent,Russia,Princess,Excellent,57.0,1,,874.2533333333333,874.2533333333333,874.2533333333333
8132,0.4,AGSL,VS2,H, ,,,4.61x4.57x2.98,Excellent,Botswana,Round,Good,,1,,994.5883333333333,994.5883333333333,994.5883333333333
8133,0.4,AGSL,SI1,F, ,63.2,,4.7x4.67x2.96,Very good,Angola,Round,Very good,56.0,1,,1012.7008333333333,0.0,0.0
8134,0.4,AGSL,VS1,I, ,61.9,,4.71x4.68x2.91,Very good,Canada,Round,Good,57.0,1,,918.1533333333334,918.1533333333334,918.1533333333334
8135,0.4,AGSL,VS2,I, ,63.4,,4.67x4.64x2.95,Very good,South Africa,Radiant,Very good,58.0,1,,839.1125,839.1125,839.1125
8136,0.4,AGSL,VVS2,I, ,62.7,,4.69x4.67x2.93,Very good,Canada,Princess,Very good,60.0,1,,890.0666666666667,890.0666666666667,890.0666666666667
8137,0.4,AGSL,VS1,I, ,62.4,,4.73x4.69x2.94,Excellent,Russia,Cushion,Good,,1,,914.1246428571427,914.1246428571427,914.1246428571427
8138,0.4,AGSL,VS2,I, ,62.9,,4.73x4.7x2.97,Excellent,South Africa,Radiant,Very good,,1,,839.1125,839.1125,839.1125
8139,0.41,AGSL,SI2,H, ,61.9,,4.77x4.79x2.95, ,Angola,Pear, ,58.0,1,,833.9,0.0,0.0
8140,0.41,AGSL,SI2,G, ,59.6,,4.83x4.88x2.89, ,Russia,Round, ,59.0,1,,878.4283152958151,878.4283152958151,878.4283152958151
8141,0.41,,VS1,J, ,62.5,,4.77x4.74x2.97,Excellent,Russia,Round,Excellent,,1,,830.2875,830.2875,830.2875
8142,0.42,AGSL,SI2,G, ,62.6,,4.8x4.75x2.99,Very good,Angola,Round,Very good,,1,,931.0083333333333,0.0,0.0
8143,0.4,AGSL,SI1,E, ,64.1,,4.59x4.63x2.96, ,Russia,Oval, ,57.0,1,,1027.3968764936042,1027.3968764936042,1027.3968764936042
8144,0.4,AGSL,VS2,I, ,,,4.64x4.61x2.92,Very good,Russia,Round,Very good,,1,,866.6607341269842,866.6607341269842,866.6607341269842
8145,0.41,AGSL,SI1,H, ,61.1,,4.82x4.8x2.94,Excellent,Angola,Round,Very good,58.0,1,,954.1666666666669,0.0,0.0
8146,0.44,AGSL,SI2,I, ,,,4.89x4.87x3.04,Excellent,Russia,Oval ,Excellent,57.0,1,,899.8816666666667,899.8816666666667,899.8816666666667
8147,0.4,AGSL,SI1,F, ,62.1,,4.73x4.72x2.93,Good,Canada,Round,Excellent,,1,,929.6167857142858,929.6167857142858,929.6167857142858
8148,0.4,AGSL,SI1,G, ,62.1,,4.7x4.68x2.92,Excellent,Russia,Round,Very good,59.0,1,,847.5748036685541,847.5748036685541,847.5748036685541
8149,0.4,AGSL,SI2,I, ,61.1,,4.74x4.76x2.91, ,Botswana,Princess, ,58.0,1,,869.9367857142856,869.9367857142856,869.9367857142856
8150,0.4,AGSL,SI2,F, ,,,4.74x4.71x2.95,Very good,Canada,Radiant,Very good,,1,,881.8784523809522,881.8784523809522,881.8784523809522
8151,0.4,AGSL,SI1,G, ,62.4,,4.72x4.69x2.94,Excellent,Russia,Round,Very good,58.0,1,,847.5748036685541,847.5748036685541,847.5748036685541
8152,0.4,AGSL,SI1,F, ,62.7,,4.67x4.62x2.91,Very good,Canada,Round,Very good,59.0,1,,929.6167857142858,929.6167857142858,929.6167857142858
8153,0.4,AGSL,VVS1,I, ,63.2,,4.66x4.64x2.94,Excellent,Canada,Emerald,Very good,,1,,855.0258333333335,855.0258333333335,855.0258333333335
8154,0.4,GemEx,SI2,E, ,61.7,False,4.7x4.68x2.9,Excellent,Botswana,Round,Very good,58.0,1,,898.9702398989898,898.9702398989898,898.9702398989898
8155,0.4,AGSL,SI1,F, ,63.0,,4.7x4.67x2.95,Very good,Russia,Princess,Good,55.0,1,,890.292142857143,890.292142857143,890.292142857143
8156,0.41,AGSL,SI2,F, ,62.1,,4.74x4.77x2.95, ,Canada,Round, ,,1,,1022.6833333333334,1022.6833333333334,1022.6833333333334
8157,0.41,AGSL,SI2,F, ,62.7,,4.71x4.75x2.97, ,Botswana,Princess, ,,1,,951.2758333333333,951.2758333333333,951.2758333333333
8158,0.4,AGSL,VS2,I, ,62.6,,4.72x4.67x2.94,Excellent,Russia,Round,Very good,58.0,1,,866.6607341269842,866.6607341269842,866.6607341269842
8159,0.4,AGSL,SI1,F, ,58.9,,4.87x4.85x2.86,Excellent,Russia,Marquise,Excellent,,1,,890.292142857143,890.292142857143,890.292142857143
8160,0.41,AGSL,SI2,H, ,61.8,,4.76x4.79x2.95, ,Russia,Round, ,58.0,1,,730.5697619047619,730.5697619047619,730.5697619047619
8161,0.4,AGSL,SI1,H, ,62.3,,4.72x4.7x2.93,Excellent,Australia,Round,Very good,,1,,869.1761111111111,869.1761111111111,869.1761111111111
8162,0.4,AGSL,SI1,H, ,59.1,,4.84x4.82x2.85,Excellent,Russia,Princess,Very good,60.0,1,,867.5781709956709,867.5781709956709,867.5781709956709
8163,0.4,AGSL,SI2,D, ,59.7,,4.82x4.79x2.87,Very good,DR Congo,Round,Very good,,1,,1144.3607142857143,0.0,0.0
8164,0.42,AGSL,SI2,F, ,61.8,,4.83x4.8x2.98,Very good,Russia,Round,Very good,59.0,1,,904.9224404761906,904.9224404761906,904.9224404761906
8165,0.44,AGSL,VS2,J, ,61.5,,4.9x4.89x3.01,Excellent,Russia,Princess,Excellent,58.0,1,,828.325,828.325,828.325
8166,0.43,AGSL,SI1,I, ,62.4,,4.84x4.81x3.01,Excellent,Angola,Round,Excellent,56.0,1,,941.7033333333334,0.0,0.0
8167,0.4,AGSL,SI1,G, ,62.5,False,4.72x4.68x2.94,Excellent,Botswana,Round,Excellent,59.0,1,,1027.6375,1027.6375,1027.6375
8168,0.41,AGSL,SI1,F, ,63.4,,4.7x4.66x2.97,Excellent,Australia,Round,Very good,,1,,1056.1634740259742,1056.1634740259742,1056.1634740259742
8169,0.41,AGSL,SI2,F, ,62.1,,4.77x4.74x2.95,Excellent,Angola,Pear,Excellent,57.0,2,,1019.445,0.0,0.0
8170,0.4,AGSL,SI2,G, ,61.1,,4.75x4.76x2.91, ,Russia,Round, ,,1,,831.3944325037704,831.3944325037704,831.3944325037704
8171,0.41,AGSL,VVS2,I, ,62.5,,4.79x4.77x2.99,Very good,Angola,Round,Very good,56.0,1,,930.5658333333333,0.0,0.0
8172,0.4,AGSL,SI1,E, ,63.7,,4.71x4.67x2.99,Very good,Russia,Round,Very good,55.0,2,,1027.3968764936042,1027.3968764936042,1027.3968764936042
8173,0.45,AGSL,VS1,J, ,61.6,,4.96x4.93x3.04,Excellent,Botswana,Round,Very good,57.0,1,,866.85,866.85,866.85
8174,0.4,,SI1,H, ,61.1,,4.78x4.75x2.91,Excellent,Australia,Round,Excellent,58.0,1,,869.1761111111111,869.1761111111111,869.1761111111111
8175,0.4,AGSL,SI2,E, ,,,4.83x4.8x2.83,Very good,Russia,Round,Very good,61.0,1,,861.4600038850039,861.4600038850039,861.4600038850039
8176,0.4,,SI1,F, ,62.4,,4.71x4.69x2.94,Very good,Other/Unknown,Emerald,Excellent,,1,,937.3826190476192,937.3826190476192,937.3826190476192
8177,0.41,AGSL,VS2,I, ,61.3,,4.8x4.78x2.94,Very good,Australia,Round,Excellent,58.0,1,,906.575,906.575,906.575
8178,0.42,AGSL,SI2,E, ,,,4.76x4.8x3.02, ,Botswana,Oval , ,56.0,1,,996.2716666666668,996.2716666666668,996.2716666666668
8179,0.4,AGSL,SI2,H, ,62.1,,4.7x4.75x2.94, ,Russia,Round, ,57.0,1,,735.3729166666667,735.3729166666667,735.3729166666667
8180,0.4,AGSL,VS1,I, ,62.7,,4.69x4.67x2.94,Excellent,Angola,Round,Very good,60.0,1,,910.5833333333333,0.0,0.0
8181,0.4,AGSL,SI1,I, ,62.2,,4.75x4.76x2.96, ,Russia,Round, ,56.0,1,,850.8972893772891,850.8972893772891,850.8972893772891
8182,0.5,AGSL,VS1,K, ,,,4.96x4.89x3.16,Very good,Botswana,Round,Good,,1,,1084.0,1084.0,1084.0
8183,0.4,AGSL,SI2,E, ,59.6,,4.82x4.8x2.87,Excellent,Russia,Round,Very good,58.0,1,,861.4600038850039,861.4600038850039,861.4600038850039
8184,0.4,AGSL,SI2,E, ,59.8,,4.82x4.8x2.87,Excellent,Russia,Round,Very good,,1,,861.4600038850039,861.4600038850039,861.4600038850039
8185,0.41,AGSL,VS1,I, ,61.7,,4.8x4.76x2.95,Excellent,Russia,Round,Good,56.0,1,,946.2258333333333,946.2258333333333,946.2258333333333
8186,0.4,AGSL,SI2,E, ,62.2,False,4.76x4.73x2.95,Excellent,Canada,Round,Very good,56.0,1,,917.685936147186,917.685936147186,917.685936147186
8187,0.4,AGSL,SI2,D, ,64.0,,4.64x4.61x2.96,Very good,Russia,Asscher,Excellent,,1,,1027.6595238095238,1027.6595238095238,1027.6595238095238
8188,0.43,AGSL,SI2,E, ,61.9,,4.83x4.84x2.99, ,Russia,Round, ,58.0,1,,1092.2391666666667,1092.2391666666667,1092.2391666666667
8189,0.4,GemEx,SI2,E, ,,,4.72x4.76x2.93, ,Botswana,Round, ,,1,,898.9702398989898,898.9702398989898,898.9702398989898
8190,0.44,,SI2,F, ,62.2,,4.9x4.88x3.04,Very good,Australia,Round,Excellent,57.0,1,,958.295,958.295,958.295
8191,0.41,AGSL,SI1,G, ,62.1,,4.75x4.74x2.95,Very good,Russia,Marquise,Excellent,58.0,1,,888.6851587301587,888.6851587301587,888.6851587301587
8192,0.4,AGSL,SI1,H, ,60.1,,4.8x4.76x2.87,Excellent,Russia,Round,Excellent,60.0,1,,867.5781709956709,867.5781709956709,867.5781709956709
8193,0.4,,SI2,G, ,60.3,,4.77x4.79x2.88, ,Australia,Round, ,60.0,1,,762.4,762.4,762.4
8194,0.4,AGSL,VVS2,H, ,63.9,,4.63x4.62x2.96,Excellent,Angola,Radiant,Very good,58.0,1,,951.6733333333333,0.0,0.0
8195,0.4,AGSL,SI1,D, ,64.9,,4.6x4.56x2.98,Very good,DR Congo,Round,Good,59.0,1,,1091.1033928571428,0.0,0.0
8196,0.41,AGSL,VS2,H, ,,True,4.86x4.83x2.91,Excellent,Angola,Round,Excellent,59.0,1,,1017.4791666666667,0.0,0.0
8197,0.43,AGSL,SI2,F, ,62.6,,4.82x4.85x3.03, ,Russia,Round, ,57.0,1,,824.4402976190477,824.4402976190477,824.4402976190477
8198,0.42,,SI1,G, ,60.3,,4.89x4.87x2.95,Excellent,Angola,Round,Excellent,58.0,1,,955.6333333333334,0.0,0.0
8199,0.41,AGSL,VVS1,I, ,61.9,,4.81x4.79x2.97,Excellent,Russia,Round,Very good,57.0,1,,906.9991666666668,906.9991666666668,906.9991666666668
8200,0.5,AGSL,SI2,K, ,62.9,,5.06x5.02x3.17,Very good,Botswana,Pear,Very good,,1,,1093.95,1093.95,1093.95
8201,0.46,AGSL,SI1,J, ,62.7,,4.89x4.91x3.07, ,Russia,Round, ,58.0,1,,937.6833333333333,937.6833333333333,937.6833333333333
8202,0.4,AGSL,SI1,E, ,63.2,,4.71x4.68x2.96,Very good,Canada,Oval,Very good,,1,,991.0417668809949,991.0417668809949,991.0417668809949
8203,0.41,AGSL,SI2,D, ,63.4,,4.71x4.68x2.98,Excellent,Russia,ROUND,Very good,58.0,2,,1022.8583333333332,1022.8583333333332,1022.8583333333332
8204,0.4,AGSL,VS2,H, ,,,4.75x4.73x2.94,Excellent,DR Congo,Oval ,Excellent,59.0,1,,959.6841666666667,0.0,0.0
8205,0.4,AGSL,SI1,D, ,60.8,,4.73x4.68x2.86,Very good,Botswana,Round,Good,62.0,1,,1075.3866071428572,1075.3866071428572,1075.3866071428572
8206,0.4,AGSL,SI1,D, ,63.0,False,4.72x4.68x2.96,Very good,Russia,Round,Very good,58.0,1,,1050.9694047619048,1050.9694047619048,1050.9694047619048
8207,0.4,AGSL,VS1,G, ,64.1,,4.66x4.62x2.97,Excellent,Russia,Round,Very good,57.0,1,,941.7373015873017,941.7373015873017,941.7373015873017
8208,0.42,AGSL,SI2,D, ,60.9,,4.84x4.88x2.96, ,Russia,Radiant, ,56.0,1,,1125.55,1125.55,1125.55
8209,0.4,GemEx,SI1,E, ,62.5,,4.72x4.7x2.95,Very good,Australia,Round,Good,,1,,972.463013098013,972.463013098013,972.463013098013
8210,0.4,AGSL,SI1,E, ,61.2,,4.76x4.72x2.9,Excellent,DR Congo,Marquis,Very good,59.0,1,,991.5856557698837,0.0,0.0
8211,0.4,AGSL,VS2,G, ,63.7,,4.72x4.68x2.99,Very good,Australia,Princess,Very good,,1,,1003.8,1003.8,1003.8
8212,0.42,AGSL,SI2,E, ,60.7,,4.89x4.86x2.96,Excellent,South Africa,Round,Very good,57.0,1,,952.5433333333334,952.5433333333334,952.5433333333334
8213,0.4,AGSL,VS2,G, ,62.4,,4.7x4.68x2.92,Excellent,Russia,Radiant,Excellent,,1,,971.719313186813,971.719313186813,971.719313186813
8214,0.4,AGSL,VS2,F, ,63.8,,4.69x4.64x2.97,Excellent,Angola,Uncut,Very good,55.0,1,,1015.1767857142856,0.0,0.0
8215,0.51,AGSL,SI1,L, ,61.9,,5.14x5.12x3.17,Excellent,Russia,Round,Excellent,57.0,1,,1081.5816666666665,1081.5816666666665,1081.5816666666665
8216,0.46,AGSL,SI2,F, ,63.8,,4.8x4.84x3.07, ,Russia,Oval, ,,1,,1048.2333333333331,1048.2333333333331,1048.2333333333331
8217,0.4,AGSL,SI2,E, ,62.1,,4.74x4.72x2.94,Excellent,Botswana,Round,Excellent,,1,,898.9702398989898,898.9702398989898,898.9702398989898
8218,0.41,AGSL,SI2,D, ,60.8,True,4.8x4.79x2.92,Very good,DR Congo,ROUND,Excellent,59.0,1,,1121.3999999999999,0.0,0.0
8219,0.4,,VVS2,F, ,64.9,,4.62x4.56x2.98,Excellent,Botswana,Oval,Very good,56.0,1,,1075.43,1075.43,1075.43
8220,0.43,AGSL,SI2,D, ,62.2,,4.83x4.81x3,Very good,Russia,Emerald,Excellent,56.0,1,,1213.0583333333334,1213.0583333333334,1213.0583333333334
8221,0.44,AGSL,SI1,F, ,,False,4.87x4.85x3.03,Excellent,Russia,Radiant,Excellent,57.0,2,,1140.1033333333335,1140.1033333333335,1140.1033333333335
8222,0.43,AGSL,SI2,E, ,,,4.81x4.83x3.01, ,Russia,Emerald, ,,1,,1092.2391666666667,1092.2391666666667,1092.2391666666667
8223,0.4,,VS1,F, ,63.4,,4.69x4.66x2.97,Very good,Botswana,Round,Very good,,1,,1004.6600000000002,1004.6600000000002,1004.6600000000002
8224,0.4,AGSL,SI1,H, ,,,4.71x4.73x2.95, ,Russia,Emerald, ,56.0,1,,867.5781709956709,867.5781709956709,867.5781709956709
